model,node_count,agent_count,coldest_expert_fraction,cold_horizon_rounds,expected_cold_expert_selections_per_token,probability_one_layer_waits,expected_added_layer_round_waits_per_token,expert_weight_gb_per_token,total_memory_gb_per_token,memory_traffic_reduction_fraction,memory_bound_throughput_gain_fraction,pareto_efficient
Kimi K3,7,752,0.05,2,7.486329607555106e-07,7.486326805139498e-07,3.443710330364169e-05,1.7856246780757408,4.282854682029362,1.8668400159072007e-12,1.8669510382096632e-12,True
Kimi K3,7,752,0.05,3,7.486329607555106e-07,7.486326805139498e-07,6.887420660728338e-05,1.7856246780677436,4.282854682021365,3.734235143326714e-12,3.7341241210242515e-12,True
Kimi K3,7,752,0.05,4,7.486329607555106e-07,7.486326805139498e-07,0.00010331130991092508,1.785624678059747,4.282854682013369,5.60129720383884e-12,5.60129720383884e-12,True
Kimi K3,7,752,0.1,2,1.4972659215110222e-06,1.4972648005873168e-06,6.887418082701657e-05,1.7856246780677447,4.282854682021367,3.7339020764193265e-12,3.7339020764193265e-12,True
Kimi K3,7,752,0.1,3,1.4972659215110222e-06,1.4972648005873168e-06,0.00013774836165403315,1.7856246780517497,4.282854682005372,7.46858130895589e-12,7.468470286653428e-12,True
Kimi K3,7,752,0.1,4,1.4972659215110222e-06,1.4972648005873168e-06,0.00020662254248104972,1.7856246780357572,4.282854681989379,1.1202705429980142e-11,1.120259440767768e-11,True
Kimi K3,7,752,0.2,2,0.28496081310756505,0.24795627600151504,11.405988696069691,1.715948892443084,4.213178896396705,0.016268538349638262,0.016537580614068403,True
Kimi K3,7,752,0.2,3,0.28496081310756505,0.24795627600151504,22.811977392139383,1.6884591137998508,4.185689117753473,0.022687102761484335,0.023213755620731913,True
Kimi K3,7,752,0.2,4,0.28496081310756505,0.24795627600151504,34.217966088209074,1.6739744154787473,4.171204419432369,0.026069122324710037,0.026766912233992857,False
Kimi K3,7,752,0.3,2,1.0664087876682866,0.6557574516563733,30.164842776193172,1.6142131087202283,4.11144311267385,0.04002273765729725,0.04169133918820833,True
Kimi K3,7,752,0.3,3,1.0664087876682866,0.6557574516563733,60.329685552386344,1.5526617493878538,4.049891753341475,0.05439431080231327,0.05752324824575128,False
Kimi K3,7,752,0.3,4,1.0664087876682866,0.6557574516563733,90.49452832857952,1.5211458424219946,4.0183758463756165,0.061752932400669036,0.06581734655315752,False
Kimi K3,7,752,0.5,2,3.6684855328913573,0.9744849175462346,44.82630620712679,1.4109911636869286,3.9082211676405505,0.08747285215350664,0.09585780802241017,True
Kimi K3,7,752,0.5,3,3.6684855328913573,0.9744849175462346,89.65261241425358,1.2816934315654207,3.7789234355190424,0.11766246672618719,0.1333531242738979,False
Kimi K3,7,752,0.5,4,3.6684855328913573,0.9744849175462346,134.4789186213804,1.2163043377053968,3.7135343416590185,0.1329301091550259,0.15330956657425077,False
Kimi K3,7,752,0.7,2,7.402909790772517,0.9993905232713199,45.971964070480716,1.2077522012322752,3.704982205185897,0.1349269400325689,0.1559717280268198,True
Kimi K3,7,752,0.7,3,7.402909790772517,0.9993905232713199,91.94392814096143,1.0107080953223133,3.5079380992759353,0.1809345962662442,0.22090372202444852,False
Kimi K3,7,752,0.7,4,7.402909790772517,0.9993905232713199,137.91589221144216,0.9114458145681059,3.4086758185217274,0.2041112595255702,0.2564570261465182,False
Kimi K3,7,752,1.0,2,16.00000000000002,0.9999998874648253,45.99999482338196,0.9023258133161258,3.3995558172697478,0.20624068065447987,0.2598277281639123,True
Kimi K3,7,752,1.0,3,16.00000000000002,0.9999998874648253,91.99998964676392,0.6044339622152654,3.101663966168887,0.27579518885440624,0.3808248503874694,True
Kimi K3,7,752,1.0,4,16.00000000000002,0.9999998874648253,137.99998447014588,0.4676812754141148,2.964911279367737,0.30772545428570897,0.44451360546298413,True
DeepSeek V4.1 Flash,7,828,0.05,2,2.7431035640584307e-07,2.7431031879299184e-07,5.486206375859837e-06,0.38705213667463145,3.707144659133445,4.277689313880728e-13,4.2787995369053533e-13,True
DeepSeek V4.1 Flash,7,828,0.05,3,2.7431035640584307e-07,2.7431031879299184e-07,1.0972412751719673e-05,0.38705213667304544,3.7071446591318593,8.556488850786081e-13,8.555378627761456e-13,False
